         2956369 function calls (2901761 primitive calls) in 9.772 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.539    1.539    9.774    9.774 profile.py:1(<module>)
   153000    0.723    0.000    1.989    0.000 Style.py:42(font)
   226013    0.712    0.000    1.148    0.000 Utility.py:26(lazy_get)
   153017    0.504    0.000    0.504    0.000 Font.py:6(__init__)
   100000    0.482    0.000    1.366    0.000 Worksheet.py:97(set_cell_style)
    54000    0.389    0.000    0.798    0.000 Style.py:50(fill)
   100000    0.356    0.000    0.463    0.000 random.py:173(randrange)
   100000    0.351    0.000    0.517    0.000 Worksheet.py:69(get_cell_value)
    73016    0.325    0.000    0.325    0.000 Color.py:2(__init__)
   200000    0.319    0.000    0.319    0.000 DataTypes.py:27(get_type)
   100000    0.307    0.000    0.461    0.000 Worksheet.py:83(set_cell_value)
   231728    0.276    0.000    0.276    0.000 {getattr}
   217576    0.267    0.000    0.267    0.000 {setattr}
   100004    0.264    0.000    0.264    0.000 Style.py:6(__init__)
   100000    0.254    0.000    0.367    0.000 Workbook.py:26(add_style)
   100000    0.248    0.000    0.711    0.000 random.py:237(randint)
    35132    0.219    0.000    0.626    0.000 Style.py:78(__eq__)
    54000    0.215    0.000    0.340    0.000 Utility.py:34(lazy_set)
86235/35229    0.194    0.000    0.573    0.000 {hash}
        1    0.167    0.167    1.512    1.512 Workbook.py:45(_align_styles)
    54000    0.140    0.000    0.480    0.000 Fill.py:12(background)
    31981    0.128    0.000    0.225    0.000 Font.py:62(__eq__)
   103887    0.117    0.000    0.117    0.000 {method 'append' of 'list' objects}
   100000    0.107    0.000    0.107    0.000 {method 'random' of '_random.Random' objects}
    70262    0.099    0.000    0.099    0.000 Style.py:104(_to_tuple)
    63990    0.097    0.000    0.097    0.000 Font.py:73(_to_tuple)
    72993    0.095    0.000    0.095    0.000 Color.py:15(__eq__)
    54009    0.090    0.000    0.090    0.000 Fill.py:5(__init__)
    35177    0.087    0.000    0.660    0.000 Style.py:75(__hash__)
    32045    0.086    0.000    0.121    0.000 Font.py:70(__hash__)
    19013    0.083    0.000    0.181    0.000 Fill.py:8(background)
    19013    0.071    0.000    0.342    0.000 Fill.py:25(__hash__)
